ROLL,UNEM,HGRAD,INC
5501,8.1,9552,1923
5945,7,9680,1961
6629,7.3,9731,1979
7556,7.5,11666,2030
8716,7,14675,2112
9369,6.4,15265,2192
9920,6.5,15484,2235
10167,6.4,15723,2351
11084,6.3,16501,2411
12504,7.7,16890,2475
13746,8.2,17203,2524
13656,7.5,17707,2674
13850,7.4,18108,2833
14145,8.2,18266,2863
14888,10.1,19308,2839
14991,9.2,18224,2898
14836,7.7,18997,3123
14478,5.7,19505,3195
14539,6.5,19800,3239
14395,7.5,19546,3129
14599,7.3,19117,3100
14969,9.2,18774,3008
15107,10.1,17813,2983
14831,7.5,17304,3069
15081,8.8,16756,3151
15127,9.1,16749,3127
15856,8.8,16925,3179
15938,7.8,17231,3207
16081,7,16816,3345